uid,kol用户名,抖音号,是否入驻,粉丝数,价格,预计播放量
89924824260,华尔街见闻,1647450857,是,859088,"'1-20s视频': 2000, '20-60s视频': 5000",8090.0
2770381286411591,DavidBeckham,DavidBeckham,否,1723810,,
104579509073,Tk张世臻 自驾环球,huanqiu2019,是,2295175,"'1-20s视频': 24988, '20-60s视频': 24988",197204.0
110839287249,疯狂车主说,1993435090,是,477627,"'1-20s视频': 3000, '20-60s视频': 3000",80535.0
654950236696270,晓波二手车,xiaobo20190616,否,757111,,
99654679581,暖视频,sbsnuanshipin,否,8156641,,
70902418769,超级黑科技,yigeyi1,是,3846654,"'1-20s视频': 7300, '20-60s视频': 7300",530363.0
92819932760,凯迪拉克,,否,932578,,
84494473311,曾仕强留声机,zengshiqiang,否,2528609,,
2405384075872248,清大EMBA中心,BQZK_EMBA,否,2549745,,
99503694529,短的发布会,1027208833,是,1962914,"'1-20s视频': 20000, '20-60s视频': 30000",596876.0
74981880280,海来阿木,Hlam0403,否,5208745,,
59498005853,主持人星宁,11439550,是,4610714,"'1-20s视频': 10000, '20-60s视频': 55000",315733.0
558166600583604,篮球人物,lanqiurenwu,是,3200734,"'1-20s视频': 11500, '20-60s视频': 11500",466797.0
62839305427,周子然,jingyiziran,是,4556578,"'1-20s视频': 60000, '20-60s视频': 65000",1596678.0
74579635745,秦鹏P的话,Qp331,是,5154870,"'1-20s视频': 30000, '20-60s视频': 40000",255559.0
62343315601,年代深夜电台,994127621,是,2008802,"'1-20s视频': 10000, '20-60s视频': 12000",162440.0
61143849052,天涯航拍【记录中国】,jlzg888,是,2355559,"'1-20s视频': 10000, '20-60s视频': 11000",342378.0
111423288381,政协君,rmzxbzxj,是,3484545,"'1-20s视频': 35000, '20-60s视频': 45000",251237.0
99094855336,周导聊商业,zhou19791225,是,2968179,"'1-20s视频': 90000, '20-60s视频': 135000",30802.0
91730876660,印小天,yinxiaotian2,否,4697987,,
110190012210,馋人老田,tjs0123,是,3818133,"'1-20s视频': 3000, '20-60s视频': 34000",274192.0
58479215586,Amazing甜甜,Amazingtt_,是,5334721,"'1-20s视频': 100000, '20-60s视频': 120000",338329.0
3368965806,历史老照片,lishi009,是,2878352,"'1-20s视频': 8000, '20-60s视频': 25000",141125.0
104689026423,衣哥(今天下午两点海宁皮草专场),1987yige,否,17049248,,
95547393743,醉鹅娘小酒馆,zuieniang,是,3427966,"'1-20s视频': 3500, '20-60s视频': 3500",208636.0
83267192150,包贝尔,,否,7218414,,
98539645147,乔师兄,qiaoshixiong,是,5364090,"'1-20s视频': 50000, '20-60s视频': 120000",723518.0
64886721156,酷皮娱乐,212492313,是,4515594,"'1-20s视频': 11000, '20-60s视频': 13000",481472.0
84838290602,简单•生活,Chloe.J,是,2726585,"'1-20s视频': 20000, '20-60s视频': 30000",1228384.0
102268743677,中国警方在线,gabzaglj,否,3068468,,
82327894943,匠游,855034257,是,3460235,"'1-20s视频': 38000, '20-60s视频': 38000",467734.0
67566403690,霍达传媒,hd.cm,是,4941112,"'1-20s视频': 15000, '20-60s视频': 17700",522767.0
65958643337,人民陆军,renminlujun,否,2228597,,
100727026701,七阿姨今天下午7点直播,7haoluren,否,24449236,"{'1-20s视频': 188000, '20-60s视频': 238000}",12183818.0
58606884048,赵露思,1109Rosy,否,25075452,,
96997102753,北京卫视跨界喜剧王,ly13611235312,是,3363600,"'1-20s视频': 83000, '20-60s视频': 84000",0.0
105859714629,中源果农,wangzhongyuan68,是,1894590,"'1-20s视频': 50000, '20-60s视频': 100000",531536.0
69473813718,白毛毛,kmummy,是,7520224,"'1-20s视频': 108780, '20-60s视频': 108780",938388.0
64263938561,野食小哥,yesxiaoge,是,4815022,"'1-20s视频': 49800, '20-60s视频': 59800",888833.0
97664273976,天津交警,tjjiaojing,否,2187796,,
84592392576,警眼看天下,,否,4010073,,
23935835912,南阳网,nanyangwang,是,10577933,"'1-20s视频': 6500, '20-60s视频': 6500",52006.0
106052172890,厉害了我的国,dyqupdl3u4r1,否,1832567,,
2440545874477636,视听中国,AudioVisualChina,否,4423816,,
4498799972583581,碎片記,Spj1994,是,1834006,"'1-20s视频': 1900, '20-60s视频': 5000",64351.0
63089499532,成都宝源行宝马体验中心,cdbyh,否,102495,,
109280400184,USA国潮店长Green,Greenxia,是,3073028,"'1-20s视频': 68888, '20-60s视频': 78888",1847865.0
105847255700,好片八部半,hpbbb,是,6674329,"'1-20s视频': 15000, '20-60s视频': 35000",365157.0
59020544404,琦哥玩车,8180049,是,2674163,"'1-20s视频': 14700, '20-60s视频': 36900",341451.0
108431829391,阿nic的每一餐,1808296397,是,5544680,"'1-20s视频': 105000, '20-60s视频': 105000",602046.0
77412891214,脑洞老爸,45953109a,是,1403701,"'1-20s视频': 15000, '20-60s视频': 20000",88447.0
101183291806,看常州,czsjt01,是,8725838,"'1-20s视频': 5500, '20-60s视频': 10000",74758.0
92810343224,潍坊时间,weifangshijian,是,5431901,"'1-20s视频': 3500, '20-60s视频': 3500",42651.0
